VID (dec),Name,Remarks  
35029681,WHCPumpTimeout,The WHC time allowed to pump to pressure before a timeout occurs.
35029697,PMParamEditMode,"Setting to allow or prevent editing PM Paraneters (from the MMI screen) when an RC is not in maintenance mode. 0=Allow PM parameter editing in all PM modes, 1 =Allow PM Parameter editing only when in Maintenance Mode."
35029760,BerbTeachBRORCx-N,The teaching data for BRO BERBT of reactor.
+16 x M,,Format of one item: 20
+ N,,M means Position of RC.
,,M=0:RC1
,,M=1:RC2
,,M=2:RC3
,,M=3:RC4
,,M=4:RC5
,,N means Position of Arm.
,,N=0:Arm1
,,N=1:Arm2
35029760,BerbTeachBRO_LLx-x-N,The teaching data for BRO BERBT of load lock.
+16 x M,,Format of one item: 20
+ N,,M means Position of LL.
,,M=5:LL1-1
,,M=6:LL1-2
,,M=7:LL2-1
,,M=8:LL2-2
,,N means Position of Arm
,,N=0:Arm1
,,N=1:Arm2
35030272,BerbTeachJELxPosLLR-N,The x position teaching data for JEL BERBT of load lock.
+(16 x M),,M=0-3
+ N,,M means Position of LL.
,,M=0:LL1-1
,,M=1:LL1-2
,,M=2:LL2-1
,,M=3:LL2-2
,,R is one of the following strings
,,“1-1” (when M=0)
,,“1-2” (when M=1)
,,“2-1” (when M=2)
,,“2-2” (when M=3)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35030272,BerbTeachJELxPosRCn-N,The x position teaching data for JEL BERBT of reactor.
+(16 x M),,M=4-8
+ N,,M means Position of RC.
,,M=4:RC1
,,M=5:RC2
,,M=6:RC3
,,M=7:RC4
,,M=8:RC5
,,n=1-5 (for RC1 – RC5)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35030528,BerbTeachJELyPosLLR-N,The y position teaching data for JEL BERBT of load lock R-N.
+(16 x M),,M=0-3
+ N,,M means Position of LL.
,,M=0: LL1-1
,,M=1: LL1-2
,,M=2: LL2-1
,,M=3: LL2-2
,,R is one of the following strings
,,“1-1” (when M=0)
,,“1-2” (when M=1)
,,“2-1” (when M=2)
,,“2-2” (when M=3)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35030528,BerbTeachJELyPosRCn-N,The y position teaching data for JEL BERBT of reactor n N.
+(16 x M),,M=4-8
+ N,,M means Position of RC.
,,M=4: RC1
,,M=5: RC2
,,M=6: RC3
,,M=7: RC4
,,M=8: RC5
,,n = 1-5 (for RC1 – RC5)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35030784,BerbTeachJELuPosLLR-N,The u position teaching data for JEL BERBT of load lock.
+(16 x M),,M=0-3
+ N,,M means Position of LL.
,,M=0: LL1-1
,,M=1: LL1-2
,,M=2: LL2-1
,,M=3: LL2-2
,,R is one of the following strings
,,“1-1” (when M=0)
,,“1-2” (when M=1)
,,“2-1” (when M=2)
,,“2-2” (when M=3)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35030784,BerbTeachJELuPosRCn-N,The u position teaching data for JEL BERBT of reactor.
+(16 x M),,M=4-8
+ N,,M means Position of RC.
,,M=4:RC1
,,M=5:RC2
,,M=6:RC3
,,M=7:RC4
,,M=8:RC5
,,n = 1-5 (for RC1 – RC5)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35031040 +(16 x M),BerbTeachJELzPosLLR-N,The z position teaching data for JEL BERBT of load lock.
+ N,,M=0-3
,,M means Position of LL.
,,M=0:LL1-1
,,M=1:LL1-2
,,M=2:LL2-1
,,M=3:LL2-2
,,R is one of the following strings
,,“1-1” (when M=0)
,,“1-2” (when M=1)
,,“2-1” (when M=2)
,,“2-2” (when M=3)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35031040 +(16 x M),BerbTeachJELzPosRCn-N,The z position teaching data for JEL BERBT of reactor.
+ N,,M=4-8
,,M means Position of RC.
,,M=4:RC1
,,M=5:RC2
,,M=6:RC3
,,M=7:RC4
,,M=8:RC5
,,n = 1-5 (for RC1 – RC5)
,,N=0-5
,,N means Position of XEx or YEx.
,,N=0:XExDown
,,N=1:XExBase
,,N=2:XExUp
,,N=3:YExDown
,,N=4:YExBase
,,N=5:YExUp
35029904 +n,FerbTeachKHIDyPosLPn,The y position teaching data for KHID FERBT of load port n.
,,(n=1-4)
35029908,FerbTeachKHIDyPosLLn,The y position teaching data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029910,FerbTeachKHIDyPosCSTGn,The y position teaching data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,"N=7-8 (for LL1, LL2)"
35029913,FerbTeachKHIDyPosMetrology,The y position teaching data for KHID FERBT of metrology.
,,
35029914,FerbTeachKHIDyPosAligner,The y position teaching data for KHID FERBT of aligner.
,,
35029920 +n,FerbTeachKHIDuPosLPn,The u position teaching data for KHID FERBT of load port n.
,,(n=1-4)
35029924,FerbTeachKHIDuPosLLn,The u position teaching data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029926,FerbTeachKHIDuPosCSTGn,The u position teaching data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35029929,FerbTeachKHIDuPosMetrology,The u position teaching data for KHID FERBT of metrology.
,,
35029930,FerbTeachKHIDuPosAligner,The u position teaching data for KHID FERBT of aligner.
,,
35029936 +n,FerbTeachKHIDzPosLPn,The z position teaching data for KHID FERBT of load port n.
,,(n=1-4)
35029940,FerbTeachKHIDzPosLLn,The z position teaching data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029942,FerbTeachKHIDzPosCSTGn,The z position teaching data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35029945,FerbTeachKHIDzPosMetrology,The z position teaching data for KHID FERBT of metrology.
,,
35029946,FerbTeachKHIDzPosAligner,The z position teaching data for KHID FERBT of aligner.
,,
35029952 +n,FerbTeachKHIDxuPosLPn,The xu position teaching data for KHID FERBT of load port n.
,,(n=1-4)
35029956,FerbTeachKHIDxuPosLLn,The xu position teaching data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029958,FerbTeachKHIDxuPosCSTGn,The xu position teaching data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35029961,FerbTeachKHIDxuPosMetrology,The xu position teaching data for KHID FERBT of metrology.
,,
35029962,FerbTeachKHIDxuPosAligner,The xu position teaching data for KHID FERBT of aligner.
,,
35029968 +n,FerbTeachKHIDxdPosLPn,The xd position teaching data for KHID FERBT of load port n.
,,(n=1-4)
35029972,FerbTeachKHIDxdPosLLn,The xd position teaching data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029974,FerbTeachKHIDxdPosCSTGn,The xd position teaching data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35029977,FerbTeachKHIDxdPosMetrology,The xd position teaching data for KHID FERBT of metrology.
,,
35029978,FerbTeachKHIDxdPosAligner,The xd position teaching data for KHID FERBT of aligner.
,,
35029984 +n,FerbParamKHIDSlotLPn,The slot parameter data for KHID FERBT of load port n.
,,(n=1-4)
35029988,FerbParamKHIDSlotLLn,The slot parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35029990,FerbParamKHIDSlotCSTGn,The slot parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35029993,FerbParamKHIDSlotMetrology,The slot parameter data for KHID FERBT of metrology.
,,
35029994,FerbParamKHIDSlotAligner,The slot parameter data for KHID FERBT of aligner.
,,
35030000 +n,FerbParamKHIDSdisLPn,The Sdis parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030004,FerbParamKHIDSdisLLn,The Sdis parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030006,FerbParamKHIDSdisCSTGn,The Sdis parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030009,FerbParamKHIDSdisMetrology,The Sdis parameter data for KHID FERBT of metrology.
,,
35030010,FerbParamKHIDSdisAligner,The Sdis parameter data for KHID FERBT of aligner.
,,
35030016 +n,FerbParamKHIDUOffLPn,The UOff parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030020,FerbParamKHIDUOffLLn,The UOff parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030022,FerbParamKHIDUOffCSTGn,The UOff parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030025,FerbParamKHIDUOffMetrology,The UOff parameter data for KHID FERBT of metrology.
,,
35030026,FerbParamKHIDUOffAligner,The UOff parameter data for KHID FERBT of aligner.
,,
35030032 +n,FerbParamKHIDLOffLPn,The LOff parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030036,FerbParamKHIDLOffLLn,The LOff parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030038,FerbParamKHIDLOffCSTGn,The LOff parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030041,FerbParamKHIDLOffMetrology,The LOff parameter data for KHID FERBT of metrology.
,,
35030042,FerbParamKHIDLOffAligner,The LOff parameter data for KHID FERBT of aligner.
,,
35030048 +n,FerbParamKHIDGBefLPn,The GBef parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030052,FerbParamKHIDGBefLLn,The GBef parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030054,FerbParamKHIDGBefCSTGn,The GBef parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030057,FerbParamKHIDGBefMetrology,The GBef parameter data for KHID FERBT of metrology.
,,
35030058,FerbParamKHIDGBefAligner,The GBef parameter data for KHID FERBT of aligner.
,,
35030064 +n,FerbParamKHIDGAftLPn,The GAft parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030068,FerbParamKHIDGAftLLn,The GAft parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030070,FerbParamKHIDGAftCSTGn,The GAft parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030073,FerbParamKHIDGAftMetrology,The GAft parameter data for KHID FERBT of metrology.
,,
35030074,FerbParamKHIDGAftAligner,The GAft parameter data for KHID FERBT of aligner.
,,
35030080 +n,FerbParamKHIDPBefLPn,The PBef parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030084,FerbParamKHIDPBefLLn,The PBef parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030086,FerbParamKHIDPBefCSTGn,The PBef parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030089,FerbParamKHIDPBefMetrology,The PBef parameter data for KHID FERBT of metrology.
,,
35030090,FerbParamKHIDPBefAligner,The PBef parameter data for KHID FERBT of aligner.
,,
35030096 +n,FerbParamKHIDPAftLPn,The PAft parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030100,FerbParamKHIDPAftLLn,The PAft parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030102,FerbParamKHIDPAftCSTGn,The PAft parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030105,FerbParamKHIDPAftMetrology,The PAft parameter data for KHID FERBT of metrology.
,,
35030106,FerbParamKHIDPAftAligner,The PAft parameter data for KHID FERBT of aligner.
,,
35030112 +n,FerbParamKHIDGWSpdLPn,The GWSpd parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030116,FerbParamKHIDGWSpdLLn,The GWSpd parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030118,FerbParamKHIDGWSpdCSTGn,The GWSpd parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030121,FerbParamKHIDGWSpdMetrology,The GWSpd parameter data for KHID FERBT of metrology.
,,
35030122,FerbParamKHIDGWSpdAligner,The GWSpd parameter data for KHID FERBT of aligner.
,,
35030128 +n,FerbParamKHIDGASpdLPn,The GASpd parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030132,FerbParamKHIDGASpdLLn,The GASpd parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030134,FerbParamKHIDGASpdCSTGn,The GASpd parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030137,FerbParamKHIDGASpdMetrology,The GASpd parameter data for KHID FERBT of metrology.
,,
35030138,FerbParamKHIDGASpdAligner,The GASpd parameter data for KHID FERBT of aligner.
,,
35030144 +n,FerbParamKHIDPWSpdLPn,The PWSpd parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030148,FerbParamKHIDPWSpdLLn,The PWSpd parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030150,FerbParamKHIDPWSpdCSTGn,The PWSpd parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030153,FerbParamKHIDPWSpdMetrology,The PWSpd parameter data for KHID FERBT of metrology.
,,
35030154,FerbParamKHIDPWSpdAligner,The PWSpd parameter data for KHID FERBT of aligner.
,,
35030160 +n,FerbParamKHIDPASpdLPn,The PASpd parameter data for KHID FERBT of load port n.
,,(n=1-4)
35030164,FerbParamKHIDPASpdLLn,The PASpd parameter data for KHID FERBT of load lock n.
+n,,n=1-2
,,N=5-6 (for n=1-2)
35030166,FerbParamKHIDPASpdCSTGn,The PASpd parameter data for KHID FERBT of cooling stage n.
+n,,n=1-2
,,N=7-8 (for n=1-2)
35030169,FerbParamKHIDPASpdMetrology,The PASpd parameter data for KHID FERBT of metrology.
,,
35030170,FerbParamKHIDPASpdAligner,The PASpd parameter data for KHID FERBT of aligner.
,,
35030177,FerbParamKHIDyLowArmOffset,The y Low Arm Offset parameter data for KHID FERBT.
,,
35030178,FerbParamKHIDuLowArmOffset,The u Low Arm Offset parameter data for KHID FERBT.
,,
35030179,FerbParamKHIDaLowArmOffset,The a Low Arm Offset parameter data for KHID FERBT.
,,
35030180,FerbParamKHIDzLowArmOffset,The z Low Arm Offset parameter data for KHID FERBT.
,,
35031184,BerbSpeedJELXSpdHxPos,The SpdH xPos speed data for JEL BERBT.
,,
35031185,BerbSpeedJELXSpdLxPos,The SpdL xPos speed data for JEL BERBT.
,,
35031186,BerbSpeedJELXAcclxPos,The Accl xPos speed data for JEL BERBT.
,,
35031187,BerbSpeedJELXJerkxPos,The Jerk xPos speed data for JEL BERBT.
,,
35031188,BerbSpeedJELXSpdHyPos,The SpdH yPos speed data for JEL BERBT.
,,
35031189,BerbSpeedJELXSpdLyPos,The SpdL yPos speed data for JEL BERBT.
,,
35031190,BerbSpeedJELXAcclyPos,The Accl yPos speed data for JEL BERBT.
,,
35031191,BerbSpeedJELXJerkyPos,The Jerk yPos speed data for JEL BERBT.
,,
35031192,BerbSpeedJELXSpdHuPos,The SpdH uPos speed data for JEL BERBT.
,,
35031193,BerbSpeedJELXSpdLuPos,The SpdL uPos speed data for JEL BERBT.
,,
35031194,BerbSpeedJELXAccluPos,The Accl uPos speed data for JEL BERBT.
,,
35031195,BerbSpeedJELXJerkuPos,The Jerk uPos speed data for JEL BERBT.
,,
35031196,BerbSpeedJELXSpdHzPos,The SpdH zPos speed data for JEL BERBT.
,,
35031197,BerbSpeedJELXSpdLzPos,The SpdL zPos speed data for JEL BERBT.
,,
35031198,BerbSpeedJELXAcclzPos,The Accl zPos speed data for JEL BERBT.
,,
35031199,BerbSpeedJELXJerkzPos,The Jerk zPos speed data for JEL BERBT.
,,
35031296 +(16 x M),BerbTeachBROrPosRCn-N,The r position teaching data for BRO BERBT of reactor.
+ N,,n=1-5
,,M=0-4
,,M means Position of RC.
,,M=0:RC1
,,M=1:RC2
,,M=2:RC3
,,M=3:RC4
,,M=4:RC5
,,N=0-1
,,N means Position of Arm.
,,N=0:Arm1
,,N=1:Arm2
35031296 +(16 x M),BerbTeachBROrPosLLR-N,The r position teaching data for BRO BERBT of load lock.
+ N,,M=5-8
,,M means Position of LL.
,,M=5:LL1-1
,,M=6:LL1-2
,,M=7:LL2-1
,,M=8:LL2-2
,,R is one of the following strings:
,,“1-1” (when M=5)
,,“1-2” (when M=6)
,,“2-1” (when M=7)
,,“2-2” (when M=8)
,,N=0-1
,,N means Position of Arm
,,N=0:Arm1
,,N=1:Arm2
35031552 +(16 x M),BerbTeachBROtPosRCn-N,The t position teaching data for BRO BERBT of reactor.
+ N,,n=1-5
,,M=0-4
,,M means Position of RC.
,,M=0:RC1
,,M=1:RC2
,,M=2:RC3
,,M=3:RC4
,,M=4:RC5
,,N=0-1
,,N means Position of Arm.
,,N=0:Arm1
,,N=1:Arm2
35031552 +(16 x M),BerbTeachBROtPosLLR-N,The t position teaching data for BRO BERBT of load lock.
+ N,,M=5-8
,,M means Position of LL.
,,M=5:LL1-1
,,M=6:LL1-2
,,M=7:LL2-1
,,M=8:LL2-2
,,R is one of the following strings:
,,“1-1” (when M=5)
,,“1-2” (when M=6)
,,“2-1” (when M=7)
,,“2-2” (when M=8)
,,N=0-1
,,N means Position of Arm
,,N=0:Arm1
,,N=1:Arm2
35031808,BerbTeachBROzuPosRCn-N,The zu position teaching data for BRO BERBT of reactor.
+(16 x M),,n=1-5
+ N,,M=0-4
,,M means Position of RC.
,,M=0:RC1
,,M=1:RC2
,,M=2:RC3
,,M=3:RC4
,,M=4:RC5
,,N=0-1
,,N means Position of Arm.
,,N=0:Arm1
,,N=1:Arm2
35031808,BerbTeachBROzuPosLLR-N,The zu position teachng data for BRO BERBT of load lock.
+(16 x M),,M=5-8
+ N,,M means Position of LL.
,,M=5:LL1-1
,,M=6:LL1-2
,,M=7:LL2-1
,,M=8:LL2-2
,,R is one of the following strings:
,,“1-1” (when M=5)
,,“1-2” (when M=6)
,,“2-1” (when M=7)
,,“2-2” (when M=8)
,,N=0-1
,,N means Position of Arm
,,N=0:Arm1
,,N=1:Arm2
35032064 +(16 x M),BerbTeachBROzdPosRCn-N,The zd position teachng data for BRO BERBT of reactor.
+ N,,n=1-5
,,M=0-4
,,M means Position of RC.
,,M=0:RC1
,,M=1:RC2
,,M=2:RC3
,,M=3:RC4
,,M=4:RC5
,,N=0-1
,,N means Position of Arm.
,,N=0:Arm1
,,N=1:Arm2
35032064 +(16 x M),BerbTeachBROzdPosLLR-N,The zd position teachng data for BRO BERBT of load lock.
+ N,,M=5-8
,,M means Position of LL.
,,M=5:LL1-1
,,M=6:LL1-2
,,M=7:LL2-1
,,M=8:LL2-2
,,R is one of the following strings
,,“1-1” (when M=5)
,,“1-2” (when M=6)
,,“2-1” (when M=7)
,,“2-2” (when M=8)
,,N=0-1
,,N means Position of Arm
,,N=0:Arm1
,,N=1:Arm2
35032208+X,RCXSuscAngle,The susceptor angle for RC X.
,,Range = 0.0 – 359.9 (degrees)
,,(X=1-5)
35032224,T1Timer,SECS protocol T1 Timer (Inter-Character Timeout).
,,Range is 0.1 to 10.0 (seconds).
35032240,T2Timer,SECS protocol T2 Timer (Protocol Timeout).
,,Range is 0.2 to 25.0 (seconds).
35032256,T4Timer,SECS protocol T4 Timer (Inter-Block Timeout).
,,Range is 1 to 120 (seconds).
35032320 +n +m*16,RCnCorrectionParamXStartRegion,RCn TAC Correction Parameter X Start Region
,,n=1-4
,,m=1-9 (X=2-10)
35032832 +n +m*16,RCnCorrectionParamXStartCF,RCn TAC Correction Parameter X Start Correction Factor
,,n=1-4
,,m=1-9 (X=2-10)
35033344 +n +m*16,RCnTACXStartSetPoint,RCn TACX Start Set Point (this is the temperature setpoint for the TE independent before adding the CF).
,,n=1-4
,,m=0-3 (X=1-4)
35033600 +n +m*16,RCnTACXTempSetPoint,RCn TACm Temp Set Point (this is the Start setpoint for the TE + Correction Factor for the module) 
,,n=1-4
,,m=0-3 (X=1-4)
35033856 +n,RCnCurrentCorrectionFactor,RCn Current TAC Correction Factor (the CF is one value applied to all TE’s for a given RC)
,,n=1-4
