VID (dec)	Class	Name	Remarks  
			(n=1-4)
33890880	SV	WaferCSTGnInformation	The current information of wafer contained in cooling stage n.
+n			"Format: wafer port no., wafer slot no."
			(for 3 slots based on the format above.)
			(n=1-2)
33890896	SV	WaferALNInformation	The current information of wafer contained in wafer aligner.
			"Format: wafer port no., wafer slot no."
33890912	SV	WaferMTRInformation	The current information of wafer contained in metrology.
			"Format: wafer port no., wafer slot no."
33890928	SV	WaferFERbtInformation	The current information of wafer contained in front end robot.
			"Format: wafer port no., wafer slot no."
			If Single Arm robot: n=2
			If Dual Arm robot: n=4
33890944	SV	WaferBERbtInformation	The current information of wafer contained in back end robot.
			"Format: wafer port no., wafer slot no."
			If Single Arm robot: n=2
			If Dual Arm robot: n=4
33890960	SV	NumPorts	The number of ports in the equipment.
33890976	SV	PortLocStateN	Current information related to the load port N.
+n			FALSE= no cassette
			TRUE= cassette present
			"(n=1-4, N=1-4)"
33890992	SV	PortAlarmN	The current alarm condition in load port N.
+n			"(n=1-4, N=1-4)"
33891008	SV	PortLocAssignedN	The location of load port N assigned.  
+n			"(n=1-4, N=1-4)"
33891024	SV	PortCarrierIDN	ID of carrier N that can be used now.
+n			"(n=1-4, N=1-4)"
33891040	SV	PortLoadStateN	The current loading/unloading state of load port N.
+n			0= unload
			1= load
			"(n=1-4, N=1-4)"
33891056	SV	PortLockStateN	"The current state of the load port N, either locked/unlocked."
+n			0= unlocked
			1= locked
			"(n=1-4, N=1-4)"
33891072	SV	LPnWaferState	The current processing state of all wafers contained in carrier on load port n.
+n			0= no wafer
			1= unprocessed
			2= processed
			(n=1-4)
33891088	SV	LPnProcessedWaferCount	The count of currently processed wafers contained in carrier on load port n.
+n			(n=1-4)
33891104	SV	LPnNoProcessedWaferCount	The count of currently unprocessed wafers contained in carrier on load port n.
+n			(n=1-4)
33891120	SV	RecipeFolderList	Recipe folder list.
			1 item format: ASCII 16bytes
33891136	SV	ActiveRecipeFolder_SV	Active recipe folder.
			
33891152	SV	MainteRCnInformation	The current state related to maintenance of reactor n.
+n			0= normal
			1= maintenance
			2= engineering
			(n=1-4)
33891168	SV	MainteLLnInformation	The current state related to maintenance of load lock n.
+n			0= normal
			1= maintenance
			(n=1-2)
33891184	SV	MainteLPnInformation	The current state related to maintenance of load port n.  
+n			0= normal
			1= maintenance
			(n=1-4)
33891200	SV	RCnPMMaintenanceState	PM maintenance information of reactor n.
+n			"If the deposition count exceeds the deposition count limit, the reactor becomes PM maintenance mode."
			"At the PM maintenance state, if the deposition count is set below the deposition count limit, PM maintenance state is released."
			0=Normal mode
			1=PM Maintenance mode
			(n=1-4)
33891216	SV	WHCTMMaintenanceState	TM maintenance information of WHC.
			"If the wafer count exceeds the wafer count limit, the WHC becomes TM maintenance mode."
			"At the TM maintenance state, if the wafer count is set below the wafer count limit, TM maintenance state is released."
			0=Normal mode
			1=TM Maintenance mode
33891232	SV	MainteUIOInformation	The current state related to maintenance of  UIO
			0= normal
			1= maintenance
33891296	SV	LPnPresenceSensorState	Present sensor state.
+n			FALSE= OFF
			TRUE= ON
			(n=1-4)
33891312	SV	LPnPlacementSensorState	Placement sensor state.
+n			FALSE= OFF
			TRUE= ON
			(n=1-4)
33891328	SV	RCnDepoCountP_SV	Deposition count P of reactor n.
+16 x p			Format: count (8)
+n			Accumulate  time hhhhhmmsscc(11)
			Date that count starts YYYYMMDD(8)
			Time that count starts hhmmsscc(8)
			cc=1/100 second
			"xx=40h-53h, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-4)
33891648	SV	RCnEtchCountP_SV	Etching count P of reactor n.  
+16 x p			Format: count (8)
+n			Accumulate  time hhhhhmmsscc(11)
			Date of count start YYYYMMDD(8)
			Time of count start hhmmsscc(8)
			cc=1/100 second
			"xx=54h-67h, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-4)
33891968	SV	RCnDepoLimitP_SV	Deposition count limit P and accumulation time limit P of reactor n.
+16 x p			Format: Count limit: xxxxxx(8)
+n			Accumulation time limit: hhhhhmmsscc(11)
			(cc=1/100 seconds)
			"xx=68h-7Bh, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-4)
33892288	SV	RCnEtchLimitP_SV	Etching count limit P and accumulation time limit P of reactor n.
+16 x p			Format: Count limit: xxxxxx(8)
+n			Accumulation time limit: hhhhhmmsscc(11)
			(cc=1/100 seconds)
			"xx=7Ch-8Fh, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-4)
33892608	SV	RCnMFCpTotalFlowingQuantity_SV	Current MFC (AI) p accumulated gas quantity of reactor n. MFC is mass flow controller. AI is analog input.
+16 x p			The data that AI is not MFC is 0.
+n			"xx=90h-CFh, p=0-63"
			(for AI0-63. xx=90h;AI0)
			(n=1-4)
34154240	SV	RCnMFCpTotalFlowingQuantity_SV	Current MFC (AI) p accumulated gas quantity of reactor n. MFC is mass flow controller. AI is analog input.
+16 x (pp-64)			The data that AI is not MFC is 0.
+n			"xx=70h-8Fh, p=64-95"
			(for AI64-95. xx=70h;AI64)
			(n=1-4)
33893632	SV	RCnDOpTotalCount_SV	Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x p			Range is 0-99999999 cycle.
+n			"xx=2D0h-32Fh, p=0-95"
			(for DO0-95. xx=2D0h;DO0)
			(n=1-4)
34154752	SV	RCnDOpTotalCount_SV	Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x (pp-96)			Range is 0-99999999 cycle.
+n			"xx=90h-BFh, p=96-143"
			(for DO96-143. xx=90h;DO96)
			(n=1-4)
34973952	SV	RCnDOpTotalCount_SV	Current DOp accumulated output cycle of reactor n. DO is digital output.
+16 x (pp-144)			Range is 0-99999999 cycle.
+n			"xx=90h-EFh, p=144-239"
			(for DO144-239. xx=90h;DO144)
			(n=1-4)
33895168	SV	RCnRFpTotalTime	Current RF accumulated output time of reactor n. RF is high frequency transmitter.
+16 x p			Range is 0-999999.99 sec.
+n			"xx=30h-35h, p=0-5"
			p=0 RF1 digital output time
			p=1 RF1 analog output time
			p=2 RF1 digital and analog output time
			p=3 RF2 digital output time
			p=4 RF2 analog output time
			p=5 RF2 digital and analog output time
			(n=1-4)
33895264	SV	RCnThickness_SV	Current accumulated thickness of reactor n.
+n			(n=1-5)
			Range is 0-99999999 nm
			or Range is 0-999999990 A
			depending on the configured thickness unit.
33895280	SV	RCnThicknessLimit_SV	Total Film Thickness Limit
+n			(n=1-5)
			Range is 0~99999999 nm
			or Range is 0~999999990 A
			depending on the configured thickness unit.
33895424	SV	LLnWaferCountP_SV	Transferred wafer count P of load lock n.
+16 x p			Format: Count: xxxxxx(8)
+n			Count starting date: YYYYMMDD(8)
			Count starting time: hhmmsscc(8)
			cc=1/100 second
			"xx=40h-53h, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-2)
33895744	SV	LLnWaferLimitP_SV	Transferred wafer count limit P of load lock n.
+16 x p			Format: Count limit: xxxxxx(8)
+n			"xx=54h-67h, p=0-19, P=1-20"
			(for Count1-20)
			(n=1-2)
33896064	SV	WHCWaferCountP_SV	Transferred wafer count P of WHC.
+16 x p			Format: Count: xxxxxx(8)
			Count starting date: YYYYMMDD(8)
			Count starting time: hhmmsscc(8)
			cc=1/100 second
			"xx=68h-7Bh, p=0-19, P=1-20"
			(for Count1-20)
33896384	SV	WHCWaferLimitP_SV	Transferred wafer count limit P of WHC.
+16 x p			Format: Count limit: xxxxxx(8)
			"xx=7Ch-8Fh, p=0-19, P=1-20"
			(for Count1-20)
33896704	SV	RC?DepositionCount	Deposition count of reactor n from lot start of processing or cleaning execution
+n			n=Number of Reactor (1-4)
33896720	SV	RCnCleaningCount	Cleaning count of reactor n from lot start of processing or cleaning execution
+n			n=Number of Reactor (1-4)
33900592	SV	RCnPulseTimep_SV	Current actual pulse time of reactor n.
+16 x (p-1)			Format: sssssssss.ccc seconds
+n			"x=3h-8h, p=1-6"
			(n=1-4)
33900688	SV	RCnPulseTimeTotal_SV	Current accumulated pulse time of reactor n.
+n			Format: sssssssss.ccc seconds
			(n=1-4)
33900704	SV	RCnPulseCountTotal_SV	Current accumulated count of reactor n.
+n			Range is 0-999999999 count.
			(n=1-4)
33896736	SV	RCnDOCountp	Current DOp actual ON count of reactor n. DO is digital output.
+16 x (p-1)			Range is 0-99999999 count.
+n			"xxx=392h -481h, p=1-240"
			(for DO0-239. xxx=392h;DO0)
			(n=1-4)
33900800	SV	ProcLLnSlowStartTime	Timestamp of last time Load Lock n started slow pump down
+n			n=1-2
			
33900816	SV	ProcLLnSlowFinishTime	Timestamp of last time Load Lock n finished slow pump down
+n			n=1-2
			
33900832	SV	ProcLLnFastStartTime	Timestamp of last time Load Lock n started fast pump down
+n			n=1-2
			
33900848	SV	ProcLLnFastFinishTime	Timestamp of last time Load Lock n finished fast pump down
+n			n=1-2
			
33900864	SV	ConfigVersion	Configuration version being used by this tool
			
33900880	SV	LastRCnLeakRate	Leak Rate (in mTorr/min) calculated during last leak check of Reactor Chamber n
+n			(n=1-4)
33900896	SV	LastRCnLeakCheckTimeStamp	Time stamp of last leak check for RCn
+n			(n=1-4)
33900912	SV	LastLLnLeakRate	Leak Rate (in mTorr/min) calculated during last leak check of Load Lock n
+n			(n=1-2)
33900928	SV	LastLLnLeakCheckTimeStamp	Time stamp of last leak check for Load Lock n
+n			(n=1-2)
33900944	SV	LastWHCLeakRate	Leak Rate (in mTorr/min) calculated during last leak check of the Wafer Handler Chamber
			
33900960	SV	LastWHCLeakCheckTimeStamp	Time stamp of last WHC leak check
			
33906704	SV	LLDwellFrequency_SV	Load Lock Dwell Frequency
			0=Never
			1=Job Only
			2=Always
33906720	SV	LLDwellStyle_SV	Load Lock Dwell Style
			0=Isolate (RP)
			1=Flow-WHC
			2=Isolate (Atm)
			3=Flow-FE
33906736	SV	LLDwellTime_SV	Load Lock Dwell time
			Range is 0~65535 Min.
33620000	SV	RCnLimitMax/MinAIpp	The maximum/minimum value of the Alpp limit in reactor n.  
+16 x pp			"Format: max.6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
			"xx=02h-41h, pp=0-63"
			(for AI0-63. xx=02h:AI0)
			(n=1-4)
34148352	SV	RCnLimitMax/MinAIpp	The maximum/minimum value of the Alpp limit in reactor n.  
+16 x (pp-64)			"Format: max.6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
			"xx=00h-1Fh, pp=64-95"
			(for AI64-95. xx=00h:AI64)
			(n=1-4)
33621024	SV	RCnLimitMax/MinTIpp	The maximum/minimum value of the Tlpp limit for the reactor n.  
+16 x pp			"Format: max. 6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  TI is a temperature input value.
			"xx=42h-61h, pp=0-31"
			(for TI0-TI31. xx=42:TI0)
			(n=1-4)
34673152	SV	RCnLimitMax/MinTIpp	The maximum/minimum value of the Tlpp limit for the reactor n.  
+16 x (pp-32)			"Format: max. 6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  TI is a temperature input value.
			"xx=20h-3Fh, pp=32-63"
			(for TI32-TI63. xx=20h:TI32)
			(n=1-4)
33621536	SV	RCnLimitMax/MinDIpp	The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x pp			"Format: max. 6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
			"xx=62h-C1h, pp=0-95"
			(for DI0-DI95. xx=62:DI0)
			(n=1-4)
34148864	SV	RCnLimitMax/MinDIpp	The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x (pp-96)			"Format: max. 6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
			"xx=20h-4Fh, pp=96-143"
			(for DI96-143. xx=20:DI96)
			(n=1-4)
34679040	SV	RCnLimitMax/MinDIpp	The maximum/minimum value of the Dlpp limit for the reactor n.  
+16 x (pp-144)			"Format: max. 6bytes, min. 6bytes"
+n			The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
			"xx=90h-EFh, pp=144-239"
			(for DI144-239. xx=90:DI144
			(n=1-4)
33623296	SV	WLLimitMax/MinAIpp	The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp			"Format: max. 6bytes, min. 6bytes"
			The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
			"xx=D0h-D3h,pp=0-3"
			"?for AI0-3, xx=D0h:AI0?"
33623552	SV	WLLimitMax/MinAIp	The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp			"Format: max. 6bytes, min. 6bytes"
			The upper/lower limits are determined by the value of the system data.  AI is an analog input value.
			"xx= E0h-EBh, pp=0-11,p=4-15"
			(pp=0-11 for AI4-15. xx=E0h:AI4)
33623360	SV	WLLimitMax/MinDIpp	The maximum/minimum value of the Dlpp limit for WHC/LL.
+16 x pp			"Format: max. 6bytes, min. 6bytes"
			The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
			"xx=D4h-DDh,pp=0-9"
			"?for DI0-9, xx=D4:DI0?"
33624320	SV	WLLimitMax/MinDIp	The maximum/minimum value of the Dlp limit for WHC/LL.
+16 x pp			"Format: max. 6bytes, min. 6bytes"
			The upper/lower limits are determined by the value of the system data.  DI is a digital input value.
			"xxx=110h-1C5h,pp=0-181 ,p=10-191"
			"?pp=0-181 for DI10-191, xxx=110:DI10?"
33623808	SV	WLLimitMax/MinSAIpp	The maximum/minimum value of the Alpp limit for WHC/LL.  
+16 x pp			"Format: max. 6bytes, min. 6bytes"
			The upper/lower limits are determined by the value of the system data.  SAI is a sensor analog input value.
			"xxx= 0F0h-10Fh, pp=0-31"
			(for SAI0-31. xxx=0F0h:SAI0)
33883136	SV	RcnAIp	The actual Alp data in current reactor n. Al is an analog input value.
+16 x p			"xxx=040h-07Fh, p=0-63"
+n			(for AI0-63. xxx=040h;AI0)
			(n=1-4)
34149632	SV	RcnAIp	The actual Alp data in current reactor n. Al is an analog input value.
+16 x (pp-64)			"xx=50h-6Fh, p=64-95"
+n			(for AI64-95. xx=50h:AI64)
			(n=1-4)
33884160	SV	RCnAOp	The actual AOp data in current reactor n. AO is an analog output value.
+16 x p			"xxx=080h-0BFh ,p=0-63"
+n			(for AO0-63. xxx=080h;AO0)
			(n=1-4)
34150144	SV	RCnAOp	The actual AOp data in current reactor n. AO is an analog output value.
+16 x (pp-64)			"xx=70h-8Fh, p=64-95"
+n			(for AO64-95. xx=70h;AO64)
			(n=1-4)
33885184	SV	RCnDIp	The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x p			"xxx=0C0h-11Fh, p=0-95"
+n			(for DI0-95. xxx=0C0h;DI0)
			(n=1-4)
34150656	SV	RCnDIp	The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x (pp-96)			"xx=90h-BFh, p=96-143"
+n			(for DI96-143. xx=90h; DI96)
			(n=1-4)
34949376	SV	RCnDIp	The current state of actual Dlp in reactor n. DI is a digital input value.
+16 x (pp-144)			"xx=90h-EFh, p=144-239"
+n			(for DI144-239. xx=90h; DI144)
			(n=1-4)
33886720	SV	RCnDOp	The current state of actual DOp in reactor n. DO is a digital output value.
+16 x p			"xxx=120h-17Fh, p=0-95"
+n			(for DO0-95. xxx=120h;DO0)
			(n=1-4)
34151424	SV	RCnDOp	The current state of actual DOp in reactor n. DO is a digital output value.
+16 x (pp-96)			"xx=C0h-EFh, p=96-143"
+n			(for DO96-143. xx=C0h; DO96)
			(n=1-4)
34162688	SV	RCnDOp	The current state of actual DOp in reactor n. DO is a digital output value.
+16 x (pp-144)			"xx=80h-DFh, p=144-239"
+n			(for DO144-239. xx=80h; DO144)
			(n=1-4)
33888256	SV	RCnTIp	The actual Tlp data of reactor n. TI is a temperature input value.  
+16 x p			"xxx=180h-19Fh, p=0-31"
+n			(for TI0-31. xxx=180h;TI0)
			(n=1-4)
34939392	SV	RCnTIp	The actual Tlp data of reactor n. TI is a temperature input value.  
+16 x (p-32)			"xx=20h-3Fh, p=32-63"
+n			(for TI32-63. xx=20h;TI32)
			(n=1-4)
33888768	SV	RCnTOp	The actual TOp data of reactor n. TO is a temperature output value.  
+16 x p			"xxx=1A0h-1BFh, p=0-31"
+n			(for TO0-31. xxx=1A0h;TO0)
			(n=1-4)
34943488	SV	RCnTOp	The actual TOp data of reactor n. TO is a temperature output value.  
+16 x (p-32)			"xx=20h-3Fh, p=32-63"
+n			(for TO32-63. xx=20h;TO32)
			(n=1-4)
33889280	SV	RCnAOpOffset_SV	The AOp offset data in current reactor n. AO is an analog output value.
+16 x p+n			"xxx=1C0h-1FFh, p=0-63"
			(for AO0-63. xxx=1C0h;AO0)
			(n=1-4)
34152192	SV	RCnAOpOffset_SV	The AOp offset data in current reactor n. AO is an analog output value.
+16 x (pp-64)			"xxx=1F0h-20Fh, p=64-95"
+n			(for AO64-95. xxx=1F0h;AO64)
			(n=1-4)
33896320	SV	RCnSAAOpOffset_SV	The SAAOp offset data in current reactor n. SAAO is a stand alone analog output value.
+16 x p+n			"xxx=378h-37Fh, p=0-7"
			(for SAAO0-7. xxx=378h;SAAO0)
			(n=1-4)
34152704	SV	RCnSAAOpOffset_SV	The SAAOp offset data in current reactor n. SAAO is a stand alone analog output value.
+16 x (pp-8)			"xx=10h-67h, p=8-95"
+n			(for SAAO8-95. xx=10h;SAAO8)
			(n=1-4)
33890304	SV	RCnTOpOffset_SV	The TOp offset data of reactor n. TO is a temperature output value.
+16 x p+n			"xxx=200h-21Fh, p=0-31"
			(for TO0-31. xxx=200h;TO0)
			(n=1-4)
34963968	SV	RCnTOpOffset_SV	The TOp offset data of reactor n. TO is a temperature output value.
+16 x (p-32)+n			"xx=20h-3Fh, p=32-63"
			(for TO32-63. xx=20h;TO32)
			(n=1-4)
34977792	SV	WHCDOpTotalCount_SV	Total DO actual ON count of WHC
+p			Range is 0-99999999 count.
			"xx=0h -BFh, p=0-191"
			(for DO0-191)
34996240	SV	MessageLanguage_SV	The language of message displayed on MMI.
			0=JAPANESE
			1=ENGLISH
34996256	SV	BuzzerFunction_SV	The rumbling function of buzzer.
			0=Not Use
			1=Use
34996272	SV	EndBuzzer_SV	The method of rumbling buzzer when auto processing ends.
			0=Standard
			1=Not Use
			2=Manual Mode
			3=Local Mode
			4=Manual or Local
34996288	SV	SystemReset_SV	The use of system reset when status is AB-END or ST-END.
			0=No Need
			1=Need
34996304	SV	RCReset_SV	The setting of reactor reset execution after process is processed in auto processing.
			0=No? Execute
			1=Execute
34996320	SV	WAITRecipe_SV	The setting of wait processing execution when auto processing ends.
			0=No? Execute
			1=Execute
34996336	SV	LLPressure_SV	The pressure of load lock when auto processing ends.
			0=Keep
			1=Vacuum
			2=1Atm
34996352	SV	CarrierStopped_SV	The transition condition to state of CarrierStopped.
			0=Terminate
			1=No Process
34996368	SV	PJEngRecipeID_SV	ID character string of PJ Engineer Recipe.
			
34996384	SV	PJMultiCreate_SV	The creation method when two or more PJ is created.
			0=Standard
			1=Same Time
34996400	SV	PJSlotCheck_SV	The function to check carrier slot when carrier exists at PJ creation.
			0=No Check
			1=One Slot
			2=All Slot
34996416	SV	WaferAlignerUse_SV	The function of wafer aligner
			0=Not Use
			1=Load Only
			2=Unload Only
			3=Load and Unload
34996432	SV	InitCapInSetup_SV	Description
			0=Not Execute
			1=Execute
34996448	SV	HandOffCap_SV	Description
			0=Not Execute
			1=Execute
34996512	SV	ProcessCounter_SV	The method of counting process count.
			0=per Recipe
			1=per Step
34996528	SV	PJEngRecipeRC_SV	The setting of RC that the engineering recipe can use.
			0=Eng & Normal
			1=Eng only
34996736	SV	CarrierOutTiming_SV	The timing of carrier out.
			0=Immediately
			1=Wait Cleaning
			2=PJ Complete
34996752	SV	PJCompleteTiming_SV	The timing of PJ complete.
			0=Wafer Complete
			1=Normal
34996768	SV	RCMaintenance_SV	The function of reactor enable/disable switching in auto processing.
			0=Disable
			1=Enable
			2=Enable(Revival)
34996784	SV	RCAbortProcess_SV	The processing method when reactor abort is occurred in auto processing.
			0=Auto Pause
			1=Maintenance
34996800	SV	RCNonePJ_SV	The method of processing PJ when there is no reactor which can be processed.
			0=Waiting
			1=Abort(WaitPJ)
			2=Abort(ProcPJ)
			3=Abort
34996816	SV	AbortedCJ_SV	The processing of CJ when system abort and system stop.
			0=Run
			1=Run&Carrier
			2=All CJ
34996832	SV	CJAbortCondition_SV	The condition of CJAbort.
			0=Unrelated to PJ
			1=Abort One PJ
			2=Abort All PJ
34996848	SV	PackPostFirstLastOfNextPJ_SV	The method of processing PackPost/First/Last when PJ is continuously processed.
			0=Skip
			1=Skip First/Last
			2=All Execute
34996864	SV	PackPostContinuousCondition_SV	The continuous condition of PackPost when PJ is continuously processed.
			0=Same All Data
			1=Same Style
34996880	SV	RBEndInitialize_SV	The function of robot initialization when auto processing ends.
			0=Not Execute
			1=Execute
34996896	SV	ResumeCleaning_SV	The function to execute cleaning at auto resume after all wafer are automatic returned to carrier while auto pauses.
			0=Disable
			1=Enable
34996912	SV	PMMaintenance_SV	The processing of reactor when process count limit is exceeded in auto processing.
			0=Disable
			1=Enable
34996928	SV	BERBLoadArm_SV	The function to fix arm when wafer is loaded into reactor of dual arm BERB.
			0=Not Fixation
			1=Fixation
34996944	SV	LLLoadSlot_SV	Loadlock Load Slot
			0=Lower Slot
			1=Upper Slot
34996960	SV	CLUnloadTiming_SV	The unload timing of unload from Cooling stage.
			0=Wait wafer
			1=Immediately
34996976	SV	WaferPreTransfer_SV	The function to do preceding transfer of dual arm BERB.
			0=Not Execute
			1=Execute
34997248	SV	RCnInitialInterval_SV	The job untreated time when cycle purge of the first time is executed.
+n			Range is 0~65535 Min.
			(n=1-5)
34997264	SV	RCnRetryInterval_SV	The job untreated time when cycle purge since the second times is executed.
+n			Range is 0~65535 Min.
			(n=1-5)
34997280	SV	LLnInitialInterval_SV	Load Lock Initial Interval
+n			Range is 0~65535 Min.
			(n=1-3)
34997296	SV	LLnRetryInterval_SV	Load Lock Retry Interval
+n			Range is 0~65535 Min.
			(n=1-3)
34997312	SV	LLnCycle_SV	Load Lock Cycle
+n			Range is 0~65535 Min.
			(n=1-3)
34997760	SV	RCnAutoCleaningTriggerType_SV	The trigger type of Auto Chamber Cleaning of reactor n.
+n			0=Processing Count
			1=Processing Time
			2=Thickness
			(n=1-5)
34997776	SV	RCnAutoCleaningCountingPro_SV	The Counting Process of Auto Chamber Cleaning of reactor n.
+n			0=Main Only
			1=Main / First /Last
			(n=1-5)
34997792	SV	RCnAutoCleaningTotalCount_SV	"The Total Processing Count , Time or Thickness of Auto Chamber Cleaning of reactor n."
+n			"Range is 0~999999999 (times, sec or nm)."
			(n=1-5)
34997808	SV	RCnAutoCleanRcpExeTiming_SV	The Recipe Execution Timing of Auto Chamber Cleaning of reactor n.
+n			"Range is 0~999999999 (times, sec or nm)."
			(n=1-5)
34997824	SV	RCnAutoLinePurgeTriggerTyp_SV	The trigger type of Auto Gas Line Purge of reactor n.
+n			0=Processing Count
			1=Processing Time
			2=Thickness
			(n=1-5)
34997840	SV	RCnAutoLinePurgeCountPro_SV	The Counting Process of Auto Gas Line Purge of reactor n.
+n			0=Main Only
			1=Main / First /Last
			(n=1-5)
34997856	SV	RCnAutoLinePurgeClnTotalCnt_SV	"The Total Processing Count , Time or Thickness of Auto Gas Line Purge of reactor n."
+n			"Range is 0~999999999 (times, sec or nm)."
			(n=1-5)
34997872	SV	RCnAutoLinePurgeRcpExeTimng_SV	The Recipe Execution Timing of Auto Gas Line Purge of reactor n.
+n			"Range is 0~999999999 (times, sec or nm)."
			(n=1-5)
34997888	SV	RCnAutoCleanningCascadeMode_SV	Auto Cleanning Cascade Mode
+n			0=Run after Process Job
			1=Run after Water
			(n=1-5)
34997904	SV	RCnAutoLinePurgeCascadeMode_SV	Auto Gas Line Purge Cascade Mode
+n			0=Run after Process Job
			1=Run after Water
			(n=1-5)
34998016	SV	FFUAlarmTotalAlarmCount_SV	Current accumulated FFU alarm count.
			Range is 0~999999999 (times).
34998032	SV	FFUAlarmAutoPauseCountLimit_SV	FFU Alarm count limit for auto pause.
			Range is 0~999999999 (times).
34998048	SV	RCnPSCycleCountLimit_SV	Pulse Cycle Count Limit
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998064	SV	RCnPSPulseCountLimit_SV	Pulse Count Limit
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998080	SV	RCnPSPulseTimeLimit_SV	Pulse Time Limit  (in second)
+n			(n=1-5)
			Range is 0 ~999999999.999
34998096	SV	RCnPSCycleCountCurrent	Current Pulse Cycle Count
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998112	SV	RCnPSPulseCountCurrent	Current Pulse Count 
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998128	SV	RCnPSPulseTimeCurrent	Current Pulse Time (in second)
+n			(n=1-5)
			Range is 0 ~999999999.
34998144	SV	RCnPSCycleCountTotal_SV	Total Pulse Cycle Count 
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998160	SV	RCnPSPulseCountTotal_SV	Total Pulse Count
+n			(n=1-5)
			Range is 0~999999999 cycle.
34998176	SV	RCnPSPulseTimeTotal_SV	Total Pulse Time (in second)
+n			(n=1-5)  
			Range is 0 ~999999999.999
34998272	SV	RCnTOpSetPoint	The TOp default setpoint data of reactor n. TO is a temperature output value.
+16 x p			"xx=80h-BFh, p=0-63"
+n			(for TO0~63. xx=80h;TO0)  
			(n=1-5)
34999296	SV	RCnTOpLightAlarmLow_SV	The TOp light alarm low data of reactor n. TO is a temperature output value.
+16 x p			"xx=C0h-FFh, (p=0-63)"
+n			(for TO0~63. xx=C0h;TO0)
			 (n=1-5)
35000320	SV	RCnTOpLightAlarmHigh_SV	The TOp light alarm high data of reactor n. TO is a temperature output value.
+16 x p			"xx=00h-3Fh, p=0-63"
+n			(for TO0~63. xx=00h;TO0)
			 (n=1-5)
35001344	SV	RCnTOpSeriousAlarmLow_SV	The TOp serious alarm low data of reactor n. TO is a temperature output value.
+16 x p			"xx=40h-7Fh, p=0-63"
+n			(for TO0~63. xx=40h;TO0)
			 (n=1-5)
35002368	SV	RCnTOpSeriousAlarmHigh_SV	The TOp serious alarm high data of reactor n. TO is a temperature output value.
+16 x p			"xx=80h-BFh, p=0-63"
+n			(for TO0~63. xx=80h;TO0)  
			(n=1-5)
35003392	SV	RCnTOpCheck	The TOp serious alarm high data of reactor n. TO is a temperature output value.
+16 x p			True= Check
+n			False= No Check
			"xx=C0h-FFh, p=0-63"
			(for TO0~63. xx=C0h;TO0)
			 (n=1-5)
35004432	SV	TP1Timer_SV	TP1 time-out time value.
			Range is 1~999
35004448	SV	TP2Timer_SV	TP2 time-out time value.
			Range is 1~999
35004464	SV	TP3Timer_SV	TP3 time-out time value.
			Range is 1~999
35004480	SV	TP4Timer_SV	TP4 time-out time value.
			Range is 1~999
35004496	SV	TP5Timer_SV	TP5 time-out time value.
			Range is 1~999
35004512	SV	TP6Timer_SV	TP6 time-out time value.
			Range is 1~999
35004528	SV	TD1Timer_SV	TD1 time-out time value.
			Range is 1~999
35004544	SV	LoadTimer1_SV	Load Timer1 time-out time value.
			Range is 0.0~999.9
35004560	SV	LoadTimer2_SV	Load Timer2 time-out time value.
			Range is 0.0~999.9
35004576	SV	UnloadTimer1_SV	Unload Timer1 time-out time value.
			Range is 0.0~999.9
35004592	SV	UnloadTimer2_SV	Unload Timer2 time-out time value.
			Range is 0.0~999.9
35004608	SV	PreProcessPurgeTime_SV	Pre Process Purge time-out time value.
			Range is 0.0~999.9
35004624	SV	PostProcessPurgeTime_SV	Post Process Purge time-out time value.
			Range is 0.0~999.9
35004640	SV	WaitPurgeOnTime_SV	Wait Purge On time-out time value.
			Range is 0.0~999.9
